text,has_distortion,distortion_type,confidence,distortion_group

"I failed this task, so I’m not good at this kind of work",1,overgeneralization,high,negative_self_evaluation
"I struggled once, which means I lack ability",1,overgeneralization,high,negative_self_evaluation
"I made one wrong decision, so I’m bad at decisions",1,overgeneralization,high,negative_self_evaluation
"I performed poorly today, so I’m not suited for this role",1,overgeneralization,high,negative_self_evaluation
"I didn’t understand this concept, so I’m bad at learning",1,overgeneralization,medium,negative_self_evaluation
"I missed one chance, so I won’t succeed here",1,overgeneralization,medium,negative_self_evaluation
"I felt nervous once, so I’m bad under pressure",1,overgeneralization,medium,negative_self_evaluation
"I made a mistake, which proves I’m careless",1,overgeneralization,medium,negative_self_evaluation
"I failed an interview, so I won’t get good jobs",1,overgeneralization,high,negative_self_evaluation
"I struggled this time, so this isn’t my strength",1,overgeneralization,medium,negative_self_evaluation
"I didn’t speak well today, so I’m a poor communicator",1,overgeneralization,high,negative_self_evaluation
"I messed this up, so I always mess things up",1,overgeneralization,high,negative_self_evaluation
"I felt confused here, so I’m not smart enough",1,overgeneralization,medium,negative_self_evaluation
"I failed once, so I’m not cut out for this field",1,overgeneralization,high,negative_self_evaluation
"I didn’t do well here, so I won’t do well anywhere",1,overgeneralization,high,negative_self_evaluation
"I struggled today, so I’m not capable",1,overgeneralization,medium,negative_self_evaluation
"I made one error, so I’m unreliable",1,overgeneralization,medium,negative_self_evaluation
"I wasn’t confident today, so I lack confidence in general",1,overgeneralization,medium,negative_self_evaluation
"I didn’t succeed here, so success isn’t for me",1,overgeneralization,high,negative_self_evaluation
"I performed badly once, so I’m bad at this overall",1,overgeneralization,high,negative_self_evaluation
"If this goes wrong, everything will collapse",1,catastrophizing,high,future_prediction
"This mistake will ruin my future",1,catastrophizing,high,future_prediction
"If I fail here, my career is over",1,catastrophizing,high,future_prediction
"This small issue will turn into a disaster",1,catastrophizing,high,future_prediction
"If this doesn’t work, nothing will",1,catastrophizing,high,future_prediction
"If I say the wrong thing, it will be terrible",1,catastrophizing,medium,future_prediction
"This delay will cause serious damage",1,catastrophizing,medium,future_prediction
"If I mess this up, I won’t recover",1,catastrophizing,medium,future_prediction
"This problem is far worse than I can handle",1,catastrophizing,medium,future_prediction
"If I fail this test, my life is over",1,catastrophizing,high,future_prediction
"If this plan fails, everything falls apart",1,catastrophizing,high,future_prediction
